Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021
"Bahamas, The",BHS,1.861483029,-0.34637693,1.518207007,2.265863467,2.491235274,0.038521098,2.904912629
Middle East & North Africa (excluding high income),MNA,1.494759286,2.186861615,3.822623329,4.366150645,2.478578852,2.096269389,5.626046997
Cameroon,CMR,2.685982772,0.861740258,0.642673522,1.074299452,2.452802141,2.437608822,2.271857625
Philippines,PHL,0.674192537,1.253698801,2.853187726,5.309346616,2.392065344,2.393162393,3.927180221
Pre-demographic dividend,PRE,3.394231378,4.664662358,4.975951506,2.96760366,2.377587328,3.542356689,6.041864891
Latin America & Caribbean,LCN,2.125101679,1.689327289,2.312249,2.379517334,2.371678594,1.380426473,4.261051274
Lithuania,LTU,-0.884097406,0.905525075,3.722888623,2.697927792,2.33450938,1.19989445,4.683544209
Mauritania,MRT,3.237703083,1.48600677,2.275034573,3.048914829,2.300092621,2.385694885,0
Estonia,EST,-0.492326007,0.148684908,3.417235495,3.436326884,2.277259312,-0.444531098,4.653166738
Peru,PER,3.398091947,3.557176636,2.994900458,1.50915423,2.252121914,2.002412058,4.271663815
Poland,POL,-0.874125874,-0.664767331,2.075935537,1.812951565,2.227478809,3.374469726,5.055027047
"Congo, Rep.",COG,3.169097968,3.190561797,0.450063823,1.152778964,2.206073058,1.795371471,1.715642755
World,WLD,1.434317634,1.550016417,2.19201011,2.438736555,2.186901545,1.920968006,3.423629476
Norway,NOR,2.171136654,3.55,1.875100596,2.764831345,2.167730033,1.286584907,3.483880553
Late-demographic dividend,LTE,1.557907113,0.977675135,2.177275727,2.474463471,2.161762581,1.940319966,3.495145631
Costa Rica,CRI,0.801982005,-0.017478851,1.62590693,2.221114615,2.096046353,0.724911478,1.726477551
Latin America & the Caribbean (IDA & IBRD countries),TLA,3.143416962,2.77316004,2.822758055,2.298102363,2.091638622,1.767515924,4.266357545
Guyana,GUY,-1.001734328,0.836008062,1.904656155,1.282842884,2.087230892,0.993337023,5.032855746
Upper middle income,UMC,1.612661218,1.864133228,3.205309716,2.611223783,2.087230892,1.646663793,3.822717091
Seychelles,SYC,4.041944107,-1.015481917,2.856795756,3.702918391,2.074764365,8.276858114,0
Algeria,DZA,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,2.415130941,7.226063074
Canada,CAN,1.13,1.43,1.6,2.27,1.95,0.72,3.4
Cambodia,KHM,1.223931955,3.019139751,2.912635574,2.459085154,1.942575008,2.940295143,2.920734776
North America,NAC,0.621934248,1.345171376,1.863497066,2.355404485,1.88073955,0.975292014,4.046526024
East Asia & Pacific (IDA & IBRD countries),TEA,1.086486299,1.757111589,2.88291165,2.828715785,1.857838416,2.393162393,2.477102415
Serbia,SRB,1.39235822,1.122313974,3.131062486,1.959840763,1.849229845,1.575532901,4.085102853
Bolivia,BOL,4.059610411,3.623214318,2.822758055,2.272059872,1.83954505,0.940742153,0.737383721
United States,USA,0.118627136,1.261583206,2.130110004,2.442583297,1.812210075,1.233584396,4.697858864
Dominican Republic,DOM,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377,3.781031799,8.24300348
USA,USA,0.12,1.26,2.13,2.44,1.81,1.23,4.7
Sweden,SWE,-0.046784745,0.984269245,1.794499047,1.953535301,1.784150974,0.497367319,2.163197364
Fiji,FJI,1.374885426,3.863225382,3.347578348,4.081476376,1.773101825,-2.595243259,0.155855722
Senegal,SEN,0.135211934,0.837284943,1.318153148,0.460985642,1.758565176,2.547434646,0
Luxembourg,LUX,0.474743161,0.290833333,1.730799591,1.528195243,1.743320757,0.819957302,2.526920091
OECD members,OED,0.338705695,0.443258966,1.822643361,1.932468123,1.740712679,0.732851645,2.815288544
UK,GBR,0.37,1.01,2.56,2.29,1.74,0.99,2.52
Malta,MLT,1.100548264,0.642702772,1.364354482,1.157823625,1.642060018,0.638544957,1.497892179
Other small states,OSS,1.548691582,1.503120559,2.380235991,2.647070733,1.642060018,1.833883503,3.031496986
Solomon Islands,SLB,-0.574469286,0.512485626,0.48868676,3.46147485,1.63485544,2.963549921,-0.115437894
European Union,EUU,-0.06164468,0.183334861,1.429107433,1.73860862,1.630522608,0.497367319,2.554506996
Slovenia,SVN,-0.525552286,-0.054999542,1.429107433,1.73860862,1.630522608,-0.054856816,1.917065061
New Zealand,NZL,0.292704628,0.646240284,1.850787675,1.598297038,1.619631902,1.7145617,3.941120608
Post-demographic dividend,PST,0.368046842,0.607397075,1.730799591,1.73860862,1.619631902,0.632267332,2.508352215
Australia,AUS,1.51,1.28,1.95,1.91,1.61,0.85,2.86
West Bank and Gaza,PSE,1.431611458,-0.219106605,0.212570934,-0.195107774,1.580183336,-0.735332001,1.237481028
High income,HIC,0.319695857,0.443258966,1.551897512,1.831883324,1.570831757,0.537288023,2.518371096
Austria,AUT,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642,1.381910634,2.766666667
Dominica,DMA,-0.843826985,0.141816226,0.296252889,0.989191119,1.504623539,-0.727116413,0.517172122
Small states,SST,0.968993459,1.281928131,1.880384402,2.29424307,1.46798976,0.615892758,2.410801984
Germany,DEU,0.51,0.49,1.51,1.73,1.45,0.51,3.14
Armenia,ARM,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608,1.211435778,7.184836294
Belgium,BEL,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957,0.740791812,2.440248511
Antigua and Barbuda,ATG,0.968993459,-0.489437796,2.43248789,1.207157934,1.431355982,0.625989707,2.062996385
Caribbean small states,CSS,-0.679637508,0.488912144,1.892520278,1.282842884,1.431355982,0.038521098,2.236849754
Albania,ALB,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079,1.620886617,2.041471631
Pacific island small states,PSS,0.648242939,1.073393889,1.583942486,2.896219323,1.359307405,0.218181818,0
Tonga,TON,-1.05399832,2.578155152,7.517062836,5.03209692,1.179543348,-0.349737697,0
Kyrgyz Republic,KGZ,6.50331839,0.388838297,3.175309864,1.542661452,1.133622577,6.325422963,11.90503982
France,FRA,0.04,0.18,1.03,1.85,1.11,0.48,1.64
France,FRA,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923,0.476498853,1.64233141
Cabo Verde,CPV,0.131187999,-1.407816371,0.784415251,1.256995667,1.106666743,0.605795808,1.862152975
Arab World,ARB,1.814077239,2.068840361,1.966825578,2.45814158,1.091848027,1.777407838,3.243459683
Kuwait,KWT,3.271701661,3.198397767,2.171832985,0.543133148,1.091848027,2.101729548,3.423629476
Middle East & North Africa,MEA,1.494759286,1.852075752,1.491939455,1.945793046,1.048834037,0.672256809,2.304465657
Finland,FIN,-0.20792884,0.356684501,0.754015047,1.083820984,1.02409393,0.290554556,2.194574323
Bahrain,BHR,1.848627424,2.786793476,1.386718306,2.08766938,1.005820047,-2.317706293,-0.606319385
Trinidad and Tobago,TTO,4.661215981,3.070667425,1.880384402,1.018569302,1.00054293,0.598986331,0
Samoa,WSM,0.724470135,1.304718693,1.749896775,4.197458887,0.98232657,-1.568912477,3.133204732
Timor-Leste,TLS,0.646148614,-1.469842879,0.52297668,2.29424307,0.95881274,0,0
Ireland,IRL,-0.289879079,0.008306338,0.340531561,0.488370168,0.939044481,-0.334584625,2.358142962
St. Vincent and the Grenadines,VCT,-1.73361195,-0.149641648,2.153336488,2.324144854,0.913069725,-0.628131309,1.572729325
Israel,ISR,-0.634390651,-0.546034946,0.244953121,0.817323896,0.844128709,-0.5884303,1.492288454
Croatia,HRV,-0.464499005,-1.125,1.129372103,1.50012501,0.771820346,0.154811375,2.554506996
North Macedonia,MKD,-0.299920476,-0.239290788,1.351618897,1.458312985,0.766439573,1.200073489,3.230749121
Jordan,JOR,-0.87685136,-0.778430463,3.323894476,4.462311085,0.761514047,0.333294351,1.346093772
Denmark,DNK,0.452034154,0.25,1.14713217,0.813609467,0.758131573,0.420711974,1.85304544
Thailand,THA,-0.900424963,0.188149704,0.665631893,1.063897542,0.706728601,-0.845937147,1.230395413
Spain,ESP,-0.50036571,-0.202598,1.956076334,1.674981369,0.699518994,-0.322753017,3.09313512
Togo,TGO,2.58390527,1.285246608,-0.980289496,0.928170504,0.685897591,1.827540385,0
Malaysia,MYS,2.104389802,2.090566595,3.871201158,0.884709161,0.662891866,-1.138702154,2.477102415
Italy,ITA,0.04,-0.09,1.23,1.14,0.61,-0.14,1.87
Grenada,GRD,-0.515448031,1.650389944,0.908458256,0.804102313,0.598149765,-0.740732597,1.219511939
Singapore,SGP,-0.522618167,-0.53226874,0.57626031,0.438620118,0.565260569,-0.181916667,2.30485959
Bosnia and Herzegovina,BIH,-1.036023034,-1.5841,0.810133322,1.41710814,0.562782154,-1.051296008,1.981639006
St. Lucia,LCA,-0.983600953,-3.078217657,0.104262079,1.935618932,0.539087559,-1.755808335,2.410703122
Japan,JPN,0.8,-0.13,0.48,0.99,0.47,-0.02,-0.23
Mauritius,MUS,1.286549708,0.977675135,3.666997027,3.216053831,0.40565519,2.580800772,4.028528882
South Korea,KOR,0.71,0.97,1.94,1.48,0.38,0.54,2.5
Switzerland,CHE,-1.143908672,-0.434618664,0.53378784,0.936335464,0.36288618,-0.725874933,0.581814168
Montenegro,MNE,1.548691582,-0.271385023,2.380235991,2.611223783,0.361563705,-0.2556557,2.410801984
Portugal,PRT,0.487938624,0.607397075,1.368614116,0.993715683,0.33817841,-0.01243833,1.265657191
Morocco,MAR,1.557907113,1.635311143,0.754663249,1.803916711,0.303386037,0.705968661,1.40195884
Palau,PLW,0.949040644,-1.042305334,1.417988197,2.109704641,0.267379679,0.218181818,2.660861151
Ecuador,ECU,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515,-0.338872393,0.133251386
Greece,GRC,-1.735888048,-0.825653978,1.12125452,0.625621413,0.253007522,-1.247983556,1.22382501
Cyprus,CYP,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997,-0.638422798,2.446088672
Maldives,MDV,0.953206659,0.502509414,2.817473382,-0.133373386,0.220029731,-1.369774256,0.543149689
Oman,OMN,0.065290133,1.109208058,1.597160603,0.881302104,0.133795057,-0.903874872,1.546637056
El Salvador,SLV,-0.731384487,0.604049087,1.012354033,1.090330006,0.075324135,-0.371590212,3.466925853
Iraq,IRQ,1.393330288,0.556521397,0.184058899,0.367441489,-0.19896538,0.574162679,6.041864891
Panama,PAN,0.137492058,0.739734025,0.875585919,0.761578359,-0.355083821,-1.550275408,1.630703373
Brunei Darussalam,BRN,-0.488347421,-0.278693266,-1.260505646,1.025051793,-0.390522069,1.940319966,1.733413885
Qatar,QAT,1.814077239,2.676591701,0.394878914,0.255815383,-0.666641125,-2.54031503,2.304465657
