date,inflation
3/15/2013,2.3
3/18/2013,2.26
3/19/2013,2.25
3/20/2013,2.25
3/21/2013,2.22
3/22/2013,2.23
3/25/2013,2.24
3/26/2013,2.21
3/27/2013,2.22
3/28/2013,2.24
3/29/2013,0
4/1/2013,2.23
4/2/2013,2.22
4/3/2013,2.18
4/4/2013,2.13
4/5/2013,2.1
4/8/2013,2.14
4/9/2013,2.06
4/10/2013,2.1
4/11/2013,2.12
4/12/2013,2.11
4/15/2013,2.02
4/16/2013,2.02
4/17/2013,1.98
4/18/2013,2
4/19/2013,2.04
4/22/2013,2.04
4/23/2013,2.04
4/24/2013,2.07
4/25/2013,2.12
4/26/2013,2.11
4/29/2013,2.1
4/30/2013,2.06
5/1/2013,1.98
5/2/2013,1.99
5/3/2013,2.03
5/6/2013,2.05
5/7/2013,2.05
5/8/2013,2.03
5/9/2013,2.02
5/10/2013,2.05
5/13/2013,2.02
5/14/2013,2.03
5/15/2013,2.01
5/16/2013,1.97
5/17/2013,1.98
5/20/2013,2
5/21/2013,1.99
5/22/2013,1.97
5/23/2013,1.93
5/24/2013,1.93
5/27/2013,0
5/28/2013,1.96
5/29/2013,1.91
5/30/2013,1.83
5/31/2013,1.87
6/3/2013,1.89
6/4/2013,1.92
6/5/2013,1.88
6/6/2013,1.87
6/7/2013,1.89
6/10/2013,1.85
6/11/2013,1.83
6/12/2013,1.81
6/13/2013,1.8
6/14/2013,1.82
6/17/2013,1.8
6/18/2013,1.84
6/19/2013,1.83
6/20/2013,1.74
6/21/2013,1.66
6/24/2013,1.62
6/25/2013,1.65
6/26/2013,1.67
6/27/2013,1.73
6/28/2013,1.76
7/1/2013,1.8
7/2/2013,1.82
7/3/2013,1.83
7/4/2013,0
7/5/2013,1.87
7/8/2013,1.87
7/9/2013,1.86
7/10/2013,1.87
7/11/2013,1.82
7/12/2013,1.84
7/15/2013,1.86
7/16/2013,1.89
7/17/2013,1.9
7/18/2013,1.89
7/19/2013,1.91
7/22/2013,1.91
7/23/2013,1.9
7/24/2013,1.87
7/25/2013,1.83
7/26/2013,1.83
7/29/2013,1.81
7/30/2013,1.82
7/31/2013,1.87
8/1/2013,1.94
8/2/2013,1.91
8/5/2013,1.92
8/6/2013,1.94
8/7/2013,1.93
8/8/2013,1.9
8/9/2013,1.91
8/12/2013,1.91
8/13/2013,1.92
8/14/2013,1.86
8/15/2013,1.83
8/16/2013,1.79
8/19/2013,1.76
8/20/2013,1.78
8/21/2013,1.77
8/22/2013,1.77
8/23/2013,1.82
8/26/2013,1.82
8/27/2013,1.86
8/28/2013,1.85
8/29/2013,1.8
8/30/2013,1.78
9/2/2013,0
9/3/2013,1.76
9/4/2013,1.74
9/5/2013,1.71
9/6/2013,1.71
9/9/2013,1.69
9/10/2013,1.74
9/11/2013,1.76
9/12/2013,1.75
9/13/2013,1.75
9/16/2013,1.76
9/17/2013,1.79
9/18/2013,1.84
9/19/2013,1.83
9/20/2013,1.85
9/23/2013,1.84
9/24/2013,1.77
9/25/2013,1.79
9/26/2013,1.77
9/27/2013,1.76
9/30/2013,1.74
10/1/2013,1.77
10/2/2013,1.8
10/3/2013,1.77
10/4/2013,1.79
10/7/2013,1.79
10/8/2013,1.76
10/9/2013,1.78
10/10/2013,1.81
10/11/2013,1.79
10/14/2013,0
10/15/2013,1.79
10/16/2013,1.79
10/17/2013,1.77
10/18/2013,1.78
10/21/2013,1.79
10/22/2013,1.76
10/23/2013,1.76
10/24/2013,1.77
10/25/2013,1.77
10/28/2013,1.79
10/29/2013,1.76
10/30/2013,1.77
10/31/2013,1.74
11/1/2013,1.7
11/4/2013,1.71
11/5/2013,1.72
11/6/2013,1.77
11/7/2013,1.76
11/8/2013,1.77
11/11/2013,0
11/12/2013,1.79
11/13/2013,1.79
11/14/2013,1.8
11/15/2013,1.8
11/18/2013,1.8
11/19/2013,1.77
11/20/2013,1.75
11/21/2013,1.76
11/22/2013,1.76
11/25/2013,1.75
11/26/2013,1.71
11/27/2013,1.71
11/28/2013,0
11/29/2013,1.69
12/2/2013,1.7
12/3/2013,1.69
12/4/2013,1.64
12/5/2013,1.66
12/6/2013,1.65
12/9/2013,1.63
12/10/2013,1.64
12/11/2013,1.65
12/12/2013,1.65
12/13/2013,1.66
12/16/2013,1.68
12/17/2013,1.69
12/18/2013,1.67
12/19/2013,1.75
12/20/2013,1.64
12/23/2013,1.67
12/24/2013,1.68
12/25/2013,0
12/26/2013,1.7
12/27/2013,1.68
12/30/2013,1.64
12/31/2013,1.69
1/1/2014,0
1/2/2014,1.71
1/3/2014,1.69
1/6/2014,1.75
1/7/2014,1.83
1/8/2014,1.76
1/9/2014,1.83
1/10/2014,1.75
1/13/2014,1.71
1/14/2014,1.76
1/15/2014,1.72
1/16/2014,1.74
1/17/2014,1.72
1/20/2014,0
1/21/2014,1.71
1/22/2014,1.79
1/23/2014,1.72
1/24/2014,1.68
1/27/2014,1.72
1/28/2014,1.71
1/29/2014,1.72
1/30/2014,1.76
1/31/2014,1.72
2/3/2014,1.7
2/4/2014,1.77
2/5/2014,1.78
2/6/2014,1.82
2/7/2014,1.77
2/10/2014,1.79
2/11/2014,1.8
2/12/2014,1.83
2/13/2014,1.77
2/14/2014,1.67
2/17/2014,0
2/18/2014,1.79
2/19/2014,1.78
2/20/2014,1.78
2/21/2014,1.74
2/24/2014,1.78
2/25/2014,1.78
2/26/2014,1.76
2/27/2014,1.81
2/28/2014,1.79
3/3/2014,1.78
3/4/2014,1.79
3/5/2014,1.8
3/6/2014,1.84
3/7/2014,1.83
3/10/2014,1.88
3/11/2014,1.86
3/12/2014,1.82
3/13/2014,1.75
3/14/2014,1.74
3/17/2014,1.8
3/18/2014,1.77
3/19/2014,1.73
3/20/2014,1.75
3/21/2014,1.79
3/24/2014,1.79
3/25/2014,1.7
3/26/2014,1.75
3/27/2014,1.73
3/28/2014,1.72
3/31/2014,1.7
4/1/2014,1.71
4/2/2014,1.72
4/3/2014,1.68
4/4/2014,1.71
4/7/2014,1.61
4/8/2014,1.71
4/9/2014,1.7
4/10/2014,1.69
4/11/2014,1.64
4/14/2014,1.71
4/15/2014,1.68
4/16/2014,1.73
4/17/2014,1.95
4/18/2014,0
4/21/2014,1.97
4/22/2014,1.98
4/23/2014,1.98
4/24/2014,1.99
4/25/2014,1.96
4/28/2014,1.95
4/29/2014,1.95
4/30/2014,1.96
5/1/2014,1.96
5/2/2014,1.95
5/5/2014,1.92
5/6/2014,1.91
5/7/2014,1.92
5/8/2014,1.93
5/9/2014,1.92
5/12/2014,1.91
5/13/2014,1.89
5/14/2014,1.92
5/15/2014,1.96
5/16/2014,1.94
5/19/2014,1.93
5/20/2014,1.92
5/21/2014,1.95
5/22/2014,1.97
5/23/2014,1.97
5/26/2014,0
5/27/2014,1.95
5/28/2014,1.94
5/29/2014,1.96
5/30/2014,1.93
6/2/2014,1.93
6/3/2014,1.92
6/4/2014,1.9
6/5/2014,1.92
6/6/2014,1.93
6/9/2014,1.95
6/10/2014,1.94
6/11/2014,1.94
6/12/2014,1.95
6/13/2014,1.93
6/16/2014,1.92
6/17/2014,1.97
6/18/2014,1.98
6/19/2014,2.02
6/20/2014,2.02
6/23/2014,2.03
6/24/2014,2.05
6/25/2014,2.03
6/26/2014,2.02
6/27/2014,2.03
6/30/2014,2
7/1/2014,2
7/2/2014,2.01
7/3/2014,2.03
7/4/2014,0
7/7/2014,2.01
7/8/2014,1.99
7/9/2014,1.98
7/10/2014,2
7/11/2014,1.99
7/14/2014,1.99
7/15/2014,1.96
7/16/2014,1.95
7/17/2014,1.97
7/18/2014,1.96
7/21/2014,1.97
7/22/2014,1.93
7/23/2014,1.92
7/24/2014,1.93
7/25/2014,1.95
7/28/2014,1.95
7/29/2014,1.94
7/30/2014,1.96
7/31/2014,1.97
8/1/2014,1.92
8/4/2014,1.9
8/5/2014,1.9
8/6/2014,1.9
8/7/2014,1.89
8/8/2014,1.86
8/11/2014,1.86
8/12/2014,1.87
8/13/2014,1.88
8/14/2014,1.84
8/15/2014,1.83
8/18/2014,1.85
8/19/2014,1.81
8/20/2014,1.83
8/21/2014,1.8
8/22/2014,1.79
8/25/2014,1.78
8/26/2014,1.83
8/27/2014,1.8
8/28/2014,1.77
8/29/2014,1.76
9/1/2014,0
9/2/2014,1.76
9/3/2014,1.77
9/4/2014,1.76
9/5/2014,1.77
9/8/2014,1.74
9/9/2014,1.71
9/10/2014,1.69
9/11/2014,1.76
9/12/2014,1.75
9/15/2014,1.73
9/16/2014,1.75
9/17/2014,1.63
9/18/2014,1.56
9/19/2014,1.56
9/22/2014,1.6
9/23/2014,1.63
9/24/2014,1.66
9/25/2014,1.62
9/26/2014,1.59
9/29/2014,1.61
9/30/2014,1.56
10/1/2014,1.6
10/2/2014,1.57
10/3/2014,1.56
10/6/2014,1.55
10/7/2014,1.52
10/8/2014,1.54
10/9/2014,1.52
10/10/2014,1.52
10/13/2014,0
10/14/2014,1.41
10/15/2014,1.37
10/16/2014,1.37
10/17/2014,1.43
10/20/2014,1.45
10/21/2014,1.42
10/22/2014,1.47
10/23/2014,1.43
10/24/2014,1.46
10/27/2014,1.44
10/28/2014,1.47
10/29/2014,1.47
10/30/2014,1.49
10/31/2014,1.53
11/3/2014,1.55
11/4/2014,1.49
11/5/2014,1.54
11/6/2014,1.58
11/7/2014,1.59
11/10/2014,1.58
11/11/2014,0
11/12/2014,1.53
11/13/2014,1.48
11/14/2014,1.45
11/17/2014,1.42
11/18/2014,1.42
11/19/2014,1.39
11/20/2014,1.41
11/21/2014,1.44
11/24/2014,1.43
11/25/2014,1.47
11/26/2014,1.44
11/27/2014,0
11/28/2014,1.39
12/1/2014,1.39
12/2/2014,1.36
12/3/2014,1.38
12/4/2014,1.36
12/5/2014,1.35
12/8/2014,1.24
12/9/2014,1.34
12/10/2014,1.27
12/11/2014,1.27
12/12/2014,1.2
12/15/2014,1.17
12/16/2014,1.21
12/17/2014,1.22
12/18/2014,1.2
12/19/2014,1.27
12/22/2014,1.29
12/23/2014,1.3
12/24/2014,1.26
12/25/2014,0
12/26/2014,1.26
12/29/2014,1.22
12/30/2014,1.21
12/31/2014,1.27
1/1/2015,0
1/2/2015,1.3
1/5/2015,1.25
1/6/2015,1.16
1/7/2015,1.16
1/8/2015,1.21
1/9/2015,1.2
1/12/2015,1.16
1/13/2015,1.05
1/14/2015,1.18
1/15/2015,1.18
1/16/2015,1.19
1/19/2015,0
1/20/2015,1.19
1/21/2015,1.17
1/22/2015,1.19
1/23/2015,1.21
1/26/2015,1.24
1/27/2015,1.29
1/28/2015,1.24
1/29/2015,1.31
1/30/2015,1.29
2/2/2015,1.32
2/3/2015,1.4
2/4/2015,1.35
2/5/2015,1.38
2/6/2015,1.36
2/9/2015,1.36
2/10/2015,1.32
2/11/2015,1.32
2/12/2015,1.37
2/13/2015,1.32
2/16/2015,0
2/17/2015,1.33
2/18/2015,1.32
2/19/2015,1.35
2/20/2015,1.37
2/23/2015,1.34
2/24/2015,1.33
2/25/2015,1.36
2/26/2015,1.49
2/27/2015,1.49
3/2/2015,1.54
3/3/2015,1.57
3/4/2015,1.61
3/5/2015,1.53
3/6/2015,1.55
3/9/2015,1.47
3/10/2015,1.36
3/11/2015,1.45
3/12/2015,1.41
3/13/2015,1.4
3/16/2015,1.27
3/17/2015,1.34
3/18/2015,1.33
3/19/2015,1.49
3/20/2015,1.5
3/23/2015,1.48
3/24/2015,1.53
3/25/2015,1.56
3/26/2015,1.57
3/27/2015,1.54
3/30/2015,1.49
3/31/2015,1.51
4/1/2015,1.58
4/2/2015,1.56
4/3/2015,1.58
4/6/2015,1.6
4/7/2015,1.6
4/8/2015,1.58
4/9/2015,1.59
4/10/2015,1.56
4/13/2015,1.55
4/14/2015,1.55
4/15/2015,1.59
4/16/2015,1.58
4/17/2015,1.65
4/20/2015,1.6
4/21/2015,1.59
4/22/2015,1.6
4/23/2015,1.7
4/24/2015,1.71
4/27/2015,1.71
4/28/2015,1.69
4/29/2015,1.7
4/30/2015,1.72
5/1/2015,1.72
5/4/2015,1.69
5/5/2015,1.72
5/6/2015,1.69
5/7/2015,1.66
5/8/2015,1.66
5/11/2015,1.64
5/12/2015,1.65
5/13/2015,1.67
5/14/2015,1.65
5/15/2015,1.62
5/18/2015,1.64
5/19/2015,1.62
5/20/2015,1.65
5/21/2015,1.63
5/22/2015,1.65
5/25/2015,0
5/26/2015,1.59
5/27/2015,1.54
5/28/2015,1.53
5/29/2015,1.57
6/1/2015,1.55
6/2/2015,1.59
6/3/2015,1.59
6/4/2015,1.59
6/5/2015,1.64
6/8/2015,1.63
6/9/2015,1.65
6/10/2015,1.66
6/11/2015,1.63
6/12/2015,1.64
6/15/2015,1.64
6/16/2015,1.67
6/17/2015,1.69
6/18/2015,1.67
6/19/2015,1.63
6/22/2015,1.65
6/23/2015,1.67
6/24/2015,1.64
6/25/2015,1.63
6/26/2015,1.66
6/29/2015,1.59
6/30/2015,1.61
7/1/2015,1.6
7/2/2015,1.62
7/3/2015,0
7/6/2015,1.57
7/7/2015,1.57
7/8/2015,1.54
7/9/2015,1.56
7/10/2015,1.58
7/13/2015,1.56
7/14/2015,1.55
7/15/2015,1.53
7/16/2015,1.52
7/17/2015,1.5
7/20/2015,1.49
7/21/2015,1.49
7/22/2015,1.48
7/23/2015,1.45
7/24/2015,1.4
7/27/2015,1.35
7/28/2015,1.38
7/29/2015,1.4
7/30/2015,1.4
7/31/2015,1.36
8/3/2015,1.31
8/4/2015,1.31
8/5/2015,1.31
8/6/2015,1.31
8/7/2015,1.28
8/10/2015,1.3
8/11/2015,1.27
8/12/2015,1.27
8/13/2015,1.24
8/14/2015,1.25
8/17/2015,1.22
8/18/2015,1.21
8/19/2015,1.17
8/20/2015,1.17
8/21/2015,1.13
8/24/2015,1.11
8/25/2015,1.15
8/26/2015,1.13
8/27/2015,1.2
8/28/2015,1.22
8/31/2015,1.26
9/1/2015,1.18
9/2/2015,1.19
9/3/2015,1.16
9/4/2015,1.14
9/7/2015,0
9/8/2015,1.15
9/9/2015,1.15
9/10/2015,1.21
9/11/2015,1.21
9/14/2015,1.19
9/15/2015,1.2
9/16/2015,1.21
9/17/2015,1.24
9/18/2015,1.19
9/21/2015,1.19
9/22/2015,1.15
9/23/2015,1.16
9/24/2015,1.11
9/25/2015,1.11
9/28/2015,1.02
9/29/2015,1.03
9/30/2015,1.07
10/1/2015,1.13
10/2/2015,1.15
10/5/2015,1.18
10/6/2015,1.22
10/7/2015,1.22
10/8/2015,1.26
10/9/2015,1.22
10/12/2015,0
10/13/2015,1.18
10/14/2015,1.15
10/15/2015,1.18
10/16/2015,1.18
10/19/2015,1.13
10/20/2015,1.16
10/21/2015,1.13
10/22/2015,1.14
10/23/2015,1.19
10/26/2015,1.16
10/27/2015,1.15
10/28/2015,1.14
10/29/2015,1.19
10/30/2015,1.2
11/2/2015,1.23
11/3/2015,1.27
11/4/2015,1.26
11/5/2015,1.23
11/6/2015,1.25
11/9/2015,1.28
11/10/2015,1.25
11/11/2015,0
11/12/2015,1.24
11/13/2015,1.21
11/16/2015,1.2
11/17/2015,1.23
11/18/2015,1.25
11/19/2015,1.27
11/20/2015,1.31
11/23/2015,1.33
11/24/2015,1.33
11/25/2015,1.31
11/26/2015,0
11/27/2015,1.31
11/30/2015,1.3
12/1/2015,1.29
12/2/2015,1.27
12/3/2015,1.33
12/4/2015,1.3
12/7/2015,1.25
12/8/2015,1.25
12/9/2015,1.21
12/10/2015,1.2
12/11/2015,1.17
12/14/2015,1.17
12/15/2015,1.22
12/16/2015,1.2
12/17/2015,1.21
12/18/2015,1.21
12/21/2015,1.19
12/22/2015,1.19
12/23/2015,1.25
12/24/2015,1.23
12/25/2015,0
12/28/2015,1.24
12/29/2015,1.28
12/30/2015,1.28
12/31/2015,1.31
1/1/2016,0
1/4/2016,1.31
1/5/2016,1.31
1/6/2016,1.26
1/7/2016,1.25
1/8/2016,1.23
1/11/2016,1.19
1/12/2016,1.19
1/13/2016,1.18
1/14/2016,1.2
1/15/2016,1.12
1/18/2016,0
1/19/2016,1.16
1/20/2016,1.1
1/21/2016,1.08
1/22/2016,1.15
1/25/2016,1.15
1/26/2016,1.17
1/27/2016,1.18
1/28/2016,1.2
1/29/2016,1.19
2/1/2016,1.2
2/2/2016,1.14
2/3/2016,1.16
2/4/2016,1.13
2/5/2016,1.07
2/8/2016,0.97
2/9/2016,0.93
2/10/2016,0.95
2/11/2016,0.94
2/12/2016,1.03
2/15/2016,0
2/16/2016,1.03
2/17/2016,1.04
2/18/2016,1.02
2/19/2016,1.06
2/22/2016,1.11
2/23/2016,1.13
2/24/2016,1.15
2/25/2016,1.18
2/26/2016,1.2
2/29/2016,1.23
3/1/2016,1.29
3/2/2016,1.34
3/3/2016,1.36
3/4/2016,1.36
3/7/2016,1.36
3/8/2016,1.33
3/9/2016,1.37
3/10/2016,1.35
3/11/2016,1.41
3/14/2016,1.38
3/15/2016,1.35
3/16/2016,1.45
3/17/2016,1.46
3/18/2016,1.47
3/21/2016,1.5
3/22/2016,1.48
3/23/2016,1.44
3/24/2016,1.42
3/25/2016,0
3/28/2016,1.4
3/29/2016,1.47
3/30/2016,1.52
3/31/2016,1.49
4/1/2016,1.49
4/4/2016,1.48
4/5/2016,1.43
4/6/2016,1.43
4/7/2016,1.41
4/8/2016,1.43
4/11/2016,1.41
4/12/2016,1.39
4/13/2016,1.43
4/14/2016,1.42
4/15/2016,1.42
4/18/2016,1.41
4/19/2016,1.46
4/20/2016,1.49
4/21/2016,1.56
4/22/2016,1.56
4/25/2016,1.56
4/26/2016,1.56
4/27/2016,1.57
4/28/2016,1.61
4/29/2016,1.6
5/2/2016,1.58
5/3/2016,1.54
5/4/2016,1.52
5/5/2016,1.52
5/6/2016,1.51
5/9/2016,1.5
5/10/2016,1.53
5/11/2016,1.53
5/12/2016,1.53
5/13/2016,1.52
5/16/2016,1.53
5/17/2016,1.56
5/18/2016,1.54
5/19/2016,1.51
5/20/2016,1.51
5/23/2016,1.49
5/24/2016,1.51
5/25/2016,1.51
5/26/2016,1.51
5/27/2016,1.51
5/30/2016,0
5/31/2016,1.47
6/1/2016,1.47
6/2/2016,1.48
6/3/2016,1.45
6/6/2016,1.49
6/7/2016,1.51
6/8/2016,1.54
6/9/2016,1.53
6/10/2016,1.49
6/13/2016,1.45
6/14/2016,1.45
6/15/2016,1.47
6/16/2016,1.42
6/17/2016,1.43
6/20/2016,1.43
6/21/2016,1.41
6/22/2016,1.41
6/23/2016,1.47
6/24/2016,1.36
6/27/2016,1.27
6/28/2016,1.32
6/29/2016,1.36
6/30/2016,1.38
7/1/2016,1.43
7/4/2016,0
7/5/2016,1.39
7/6/2016,1.41
7/7/2016,1.41
7/8/2016,1.39
7/11/2016,1.41
7/12/2016,1.46
7/13/2016,1.43
7/14/2016,1.44
7/15/2016,1.44
7/18/2016,1.41
7/19/2016,1.39
7/20/2016,1.4
7/21/2016,1.38
7/22/2016,1.36
7/25/2016,1.34
7/26/2016,1.33
7/27/2016,1.31
7/28/2016,1.33
7/29/2016,1.31
8/1/2016,1.27
8/2/2016,1.25
8/3/2016,1.28
8/4/2016,1.3
8/5/2016,1.33
8/8/2016,1.34
8/9/2016,1.3
8/10/2016,1.27
8/11/2016,1.32
8/12/2016,1.29
8/15/2016,1.3
8/16/2016,1.28
8/17/2016,1.31
8/18/2016,1.32
8/19/2016,1.34
8/22/2016,1.34
8/23/2016,1.34
8/24/2016,1.32
8/25/2016,1.33
8/26/2016,1.31
8/29/2016,1.29
8/30/2016,1.28
8/31/2016,1.27
9/1/2016,1.24
9/2/2016,1.28
9/5/2016,0
9/6/2016,1.29
9/7/2016,1.3
9/8/2016,1.34
9/9/2016,1.32
9/12/2016,1.33
9/13/2016,1.31
9/14/2016,1.3
9/15/2016,1.31
9/16/2016,1.34
9/19/2016,1.35
9/20/2016,1.33
9/21/2016,1.37
9/22/2016,1.4
9/23/2016,1.42
9/26/2016,1.4
9/27/2016,1.38
9/28/2016,1.44
9/29/2016,1.44
9/30/2016,1.45
10/3/2016,1.47
10/4/2016,1.45
10/5/2016,1.48
10/6/2016,1.49
10/7/2016,1.5
10/10/2016,0
10/11/2016,1.51
10/12/2016,1.51
10/13/2016,1.5
10/14/2016,1.53
10/17/2016,1.55
10/18/2016,1.54
10/19/2016,1.56
10/20/2016,1.56
10/21/2016,1.56
10/24/2016,1.53
10/25/2016,1.57
10/26/2016,1.58
10/27/2016,1.57
10/28/2016,1.6
10/31/2016,1.59
11/1/2016,1.59
11/2/2016,1.55
11/3/2016,1.52
11/4/2016,1.52
11/7/2016,1.56
11/8/2016,1.57
11/9/2016,1.67
11/10/2016,1.7
11/11/2016,0
11/14/2016,1.65
11/15/2016,1.67
11/16/2016,1.66
11/17/2016,1.71
11/18/2016,1.74
11/21/2016,1.74
11/22/2016,1.75
11/23/2016,1.74
11/24/2016,0
11/25/2016,1.74
11/28/2016,1.69
11/29/2016,1.69
11/30/2016,1.77
12/1/2016,1.81
12/2/2016,1.76
12/5/2016,1.79
12/6/2016,1.8
12/7/2016,1.78
12/8/2016,1.83
12/9/2016,1.83
12/12/2016,1.86
12/13/2016,1.86
12/14/2016,1.82
12/15/2016,1.78
12/16/2016,1.75
12/19/2016,1.74
12/20/2016,1.8
12/21/2016,1.74
12/22/2016,1.86
12/23/2016,1.84
12/26/2016,0
12/27/2016,1.88
12/28/2016,1.85
12/29/2016,1.81
12/30/2016,1.84
1/2/2017,0
1/3/2017,1.86
1/4/2017,1.86
1/5/2017,1.83
1/6/2017,1.84
1/9/2017,1.85
1/10/2017,1.84
1/11/2017,1.85
1/12/2017,1.87
1/13/2017,1.85
1/16/2017,0
1/17/2017,1.84
1/18/2017,1.86
1/19/2017,1.9
1/20/2017,1.92
1/23/2017,1.86
1/24/2017,1.93
1/25/2017,1.96
1/26/2017,1.94
1/27/2017,1.96
1/30/2017,1.95
1/31/2017,1.94
2/1/2017,1.92
2/2/2017,1.93
2/3/2017,1.91
2/6/2017,1.91
2/7/2017,1.87
2/8/2017,1.82
2/9/2017,1.86
2/10/2017,1.87
2/13/2017,1.87
2/14/2017,1.87
2/15/2017,1.93
2/16/2017,1.9
2/17/2017,1.85
2/20/2017,0
2/21/2017,1.87
2/22/2017,1.92
2/23/2017,1.9
2/24/2017,1.9
2/27/2017,1.86
2/28/2017,1.89
3/1/2017,1.84
3/2/2017,1.84
3/3/2017,1.92
3/6/2017,1.9
3/7/2017,1.92
3/8/2017,1.9
3/9/2017,1.89
3/10/2017,1.9
3/13/2017,1.86
3/14/2017,1.88
3/15/2017,1.84
3/16/2017,1.87
3/17/2017,1.89
3/20/2017,1.86
3/21/2017,1.8
3/22/2017,1.79
3/23/2017,1.75
3/24/2017,1.73
3/27/2017,1.75
3/28/2017,1.73
3/29/2017,1.8
3/30/2017,1.81
3/31/2017,1.77
4/3/2017,1.73
4/4/2017,1.77
4/5/2017,1.77
4/6/2017,1.71
4/7/2017,1.7
4/10/2017,1.69
4/11/2017,1.7
4/12/2017,1.69
4/13/2017,1.74
4/14/2017,0
4/17/2017,1.69
4/18/2017,1.65
4/19/2017,1.66
4/20/2017,1.82
4/21/2017,1.79
4/24/2017,1.81
4/25/2017,1.85
4/26/2017,1.83
4/27/2017,1.81
4/28/2017,1.81
5/1/2017,1.8
5/2/2017,1.77
5/3/2017,1.76
5/4/2017,1.72
5/5/2017,1.75
5/8/2017,1.75
5/9/2017,1.74
5/10/2017,1.78
5/11/2017,1.82
5/12/2017,1.75
5/15/2017,1.74
5/16/2017,1.74
5/17/2017,1.7
5/18/2017,1.72
5/19/2017,1.75
5/22/2017,1.75
5/23/2017,1.77
5/24/2017,1.73
5/25/2017,1.7
5/26/2017,1.73
5/29/2017,0
5/30/2017,1.73
5/31/2017,1.72
6/1/2017,1.73
6/2/2017,1.72
6/5/2017,1.72
6/6/2017,1.71
6/7/2017,1.69
6/8/2017,1.69
6/9/2017,1.68
6/12/2017,1.67
6/13/2017,1.67
6/14/2017,1.59
6/15/2017,1.56
6/16/2017,1.56
6/19/2017,1.56
6/20/2017,1.54
6/21/2017,1.54
6/22/2017,1.57
6/23/2017,1.59
6/26/2017,1.61
6/27/2017,1.62
6/28/2017,1.65
6/29/2017,1.62
6/30/2017,1.63
7/3/2017,1.66
7/4/2017,0
7/5/2017,1.65
7/6/2017,1.66
7/7/2017,1.63
7/10/2017,1.6
7/11/2017,1.61
7/12/2017,1.63
7/13/2017,1.64
7/14/2017,1.62
7/17/2017,1.64
7/18/2017,1.62
7/19/2017,1.65
7/20/2017,1.62
7/21/2017,1.62
7/24/2017,1.62
7/25/2017,1.67
7/26/2017,1.66
7/27/2017,1.68
7/28/2017,1.68
7/31/2017,1.67
8/1/2017,1.62
8/2/2017,1.63
8/3/2017,1.62
8/4/2017,1.65
8/7/2017,1.65
8/8/2017,1.69
8/9/2017,1.7
8/10/2017,1.68
8/11/2017,1.64
8/14/2017,1.59
8/15/2017,1.63
8/16/2017,1.62
8/17/2017,1.61
8/18/2017,1.61
8/21/2017,1.59
8/22/2017,1.61
8/23/2017,1.58
8/24/2017,1.6
8/25/2017,1.57
8/28/2017,1.56
8/29/2017,1.54
8/30/2017,1.57
8/31/2017,1.58
9/1/2017,1.63
9/4/2017,0
9/5/2017,1.58
9/6/2017,1.6
